Time,電圧上限値,電圧下限値,bus1の電圧,bus1の電圧上限違反値,bus1の電圧下限違反値,bus1の有効電力,bus1の電圧降下,bus2の電圧,bus2の電圧上限違反値,bus2の電圧下限違反値,bus2の有効電力,bus2の電圧降下,bus3の電圧,bus3の電圧上限違反値,bus3の電圧下限違反値,bus3の有効電力,bus3の電圧降下
2003/4/1 11:00,107.0,95.0,99.7999705784099,0,0,6.712514377104157e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.698446410353479e-15,-0.00014433150026604835,99.79975030501872,0,0,6.6837671174448415e-15,-7.594189091264525e-05
2003/4/1 11:30,107.0,95.0,99.79997057840995,0,0,9.734435479913373e-13,-2.9421590042488788e-05,99.79982624690973,0,0,6.288303211476887e-13,-0.0001443315002234158,99.79975030501885,0,0,3.161915174132446e-13,-7.594189088422354e-05
2003/4/1 12:00,107.0,95.0,99.79997057840995,0,0,9.947598300641403e-13,-2.9421590042488788e-05,99.79982624690975,0,0,6.430411758628907e-13,-0.00014433150020920493,99.79975030501885,0,0,3.2152058793144533e-13,-7.59418908984344e-05
2003/4/1 12:30,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.698847428225303e-15,-0.00014433150026604835,99.79975030501872,0,0,6.6881331876295656e-15,-7.594189091264525e-05
2003/4/1 13:00,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.68619498404954e-15,-0.00014433150026604835,99.79975030501872,0,0,6.670643171027066e-15,-7.594189091264525e-05
2003/4/1 13:30,107.0,95.0,99.79997057840995,0,0,1.0018652574217413e-12,-2.9421590042488788e-05,99.79982624690973,0,0,6.501466032204917e-13,-0.0001443315002234158,99.79975030501885,0,0,3.268496584496461e-13,-7.594189088422354e-05
2003/4/1 14:00,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.6920602172672905e-15,-0.00014433150026604835,99.79975030501872,0,0,6.682105823787043e-15,-7.594189091264525e-05
2003/4/1 14:30,107.0,95.0,99.79997057840993,0,0,5.329070518200751e-13,-2.9421590070910497e-05,99.79982624690969,0,0,3.339550858072471e-13,-0.00014433150023762664,99.79975030501879,0,0,1.6697754290362354e-13,-7.59418908984344e-05
2003/4/1 15:00,107.0,95.0,99.7999705784099,0,0,6.712514377104157e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.7068932186609605e-15,-0.00014433150026604835,99.79975030501872,0,0,6.705585321583058e-15,-7.594189091264525e-05
2003/4/1 15:30,107.0,95.0,99.79997057840991,0,0,3.979039320256561e-13,-2.9421590085121352e-05,99.79982624690967,0,0,2.4513724383723456e-13,-0.00014433150023762664,99.79975030501878,0,0,1.2079226507921703e-13,-7.59418908984344e-05
2003/4/1 16:00,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.721871106813527e-15,-0.00014433150026604835,99.79975030501872,0,0,6.745760652243427e-15,-7.594189091264525e-05
