DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/9/27 7:30,0.003058,0,0,0.0008062,0.06158395,0.08436605,0.0140529,0.05938775,0,0.22325485
2003/9/27 8:00,0.00305105,0,0,0.0007923,0.0561977,0.09802975,0.01622825,0.08276755,0,0.2570666
2003/9/27 8:30,0.0030024,0,0,0.00078535,0.05232655,0.0975363,0.0160128,0.0898357,0,0.2594991
2003/9/27 9:00,0.00299545,0,0,0.0007645,0.04715575,0.0879592,0.0114536,0.0534038,0,0.2037323
2003/9/27 9:30,0.00299545,0,0,0.0007645,0.0504709,0.0545019,0.01387915,0.0518053,0,0.1744172
2003/9/27 10:00,0.00300935,0,0,0.00077145,0.07203675,0.02319215,0.01411545,0.05314665,0,0.1662718
2003/9/27 10:30,0.00302325,0,0,0.0007784,0.0503319,0.0231296,0.0134691,0.0545714,0,0.14530365
2003/9/27 11:00,0.0030024,0,0,0.0007784,0.05101995,0.0231852,0.01372625,0.05160375,0,0.14331595
2003/9/27 11:30,0.0030302,0,0,0.0007784,0.0471766,0.02319215,0.0135247,0.05092265,0,0.1386247
2003/9/27 12:00,0.00300935,0,0,0.00077145,0.0735171,0.02359525,0.0106474,0.0519026,0,0.16344315
2003/9/27 12:30,0.00302325,0,0,0.00078535,0.05334125,0.0531953,0.0197658,0.0518609,0,0.18197185
2003/9/27 13:00,0.00300935,0,0,0.0007923,0.05331345,0.0898218,0.01040415,0.0527227,0,0.21006375
2003/9/27 13:30,0.0030858,0,0,0.00077145,0.0707649,0.1065296,0.01039025,0.0514856,0,0.2430276
2003/9/27 14:00,0.00295375,0,0,0.00077145,0.0554749,0.09313695,0.0128436,0.0497481,0,0.21492875
2003/9/27 14:30,0.0030302,0,0,0.00078535,0.0502346,0.0703062,0.0123988,0.0636898,0,0.20044495
2003/9/27 15:00,0.00302325,0,0,0.0007784,0.0786601,0.0955625,0.0098134,0.05266015,0,0.2404978
2003/9/27 15:30,0.00300935,0,0,0.00077145,0.04940755,0.02305315,0.01226675,0.0530841,0,0.14159235
2003/9/27 16:00,0.0029607,0,0,0.00078535,0.069361,0.03161555,0.01248915,0.0538625,0,0.17107425
2003/9/27 16:30,0.0030163,0,0,0.30940705,0.04993575,0.0230462,0.0121069,0.05441155,0,0.45192375
2003/9/27 17:00,0.00316225,0,0,0.00077145,0.05816455,0.0565869,0.0113841,0.05245165,0,0.1825209
2003/9/27 17:30,0.00695695,0,0,0.00077145,0.06765825,0.09466595,0.01232235,0.0810509,0,0.26342585
2003/9/27 18:00,0.01863295,0,0,0.00078535,0.0488585,0.0855962,0.0355562,0.23497255,0,0.42440175
2003/9/27 18:30,0.0526532,0,0,0.00078535,0.0499149,0.0303854,0.02701465,0.13558755,0,0.29634105
2003/9/27 19:00,0.05266015,0,0,0.00078535,0.0489836,0.02363,0.00991765,0.10311715,0,0.2390939
2003/9/27 19:30,0.0556556,0,0,0.00078535,0.07046605,0.0231713,0.0072558,0.1042917,0,0.2616258
2003/9/27 20:00,0.05574595,0,0,0.0007923,0.05664945,0.0232269,0.01007055,0.10561915,0,0.2521043
