Time,AG_Buy,AG_Sell,Voltage_H0,Battery_H0,HP_Status_H0,P_H_h0,P_DN_h0,PV_h0,Demand_h0,HP_Power_h0,HP_Tank_h0,Voltage_H1,Battery_H1,HP_Status_H1,P_H_h1,P_DN_h1,PV_h1,Demand_h1,HP_Power_h1,HP_Tank_h1,Voltage_H2,Battery_H2,HP_Status_H2,P_H_h2,P_DN_h2,PV_h2,Demand_h2,HP_Power_h2,HP_Tank_h2
21,0.0,0.035261171811806435,99.798040899138,4.231860210526316,1,-0.011753723937268812,-0.011753723937268812,2.149197367,0.088126,0.5493176430627315,44.426873993999955,99.79613788659293,4.231860210526316,1,-0.011753723937268812,-0.011753723937268812,2.149197367,0.088126,0.5493176430627315,44.426873993999955,99.79512234886029,4.231860210526316,1,-0.011753723937268812,-0.011753723937268812,2.149197367,0.088126,0.5493176430627315,44.426873993999955
22,0.0,3.8260373659267435,99.59058942007185,4.424655999998421,1,-1.275345788642248,-1.275345788642248,2.186708495,0.07861145,0.4268653837848979,52.06809871766662,99.3996182088498,4.424655999998421,1,-1.275345788642248,-1.275345788642248,2.186708495,0.07861145,0.4268653837848979,52.06809871766662,99.2975907828008,4.424655999998421,1,-1.275345788642248,-1.275345788642248,2.186708495,0.07861145,0.4268653837848979,52.06809871766662
23,0.0,5.108758002137983,99.52039210965721,4.424655999998421,1,-1.7029193340459943,-1.7029193340459943,2.187291505,0.05977,0.42460217095400593,59.70932344133331,99.26544411170985,4.424655999998421,1,-1.7029193340459943,-1.7029193340459943,2.187291505,0.05977,0.42460217095400593,59.70932344133331,99.1292363418444,4.424655999998421,1,-1.7029193340459943,-1.7029193340459943,2.187291505,0.05977,0.42460217095400593,59.70932344133331
24,0.0,4.943608538552485,99.52942996858988,4.424655999998421,1,-1.6478695128508283,-1.6478695128508283,2.1437015390000003,0.07346845,0.42236357614917197,67.35054816499998,99.28271894111867,4.424655999998421,1,-1.6478695128508283,-1.6478695128508283,2.1437015390000003,0.07346845,0.42236357614917197,67.35054816499998,99.15091186871383,4.424655999998421,1,-1.6478695128508283,-1.6478695128508283,2.1437015390000003,0.07346845,0.42236357614917197,67.35054816499998
25,0.0,5.900255283,99.47707715958272,4.424655999998421,0,-1.9667517609999998,-1.9667517609999998,2.077298461,0.1105467,0.0,67.35054816499998,99.18265255909085,4.424655999998421,0,-1.9667517609999998,-1.9667517609999998,2.077298461,0.1105467,0.0,67.35054816499998,99.02535395430318,4.424655999998421,0,-1.9667517609999998,-1.9667517609999998,2.077298461,0.1105467,0.0,67.35054816499998
26,0.0,5.627234112,99.49201833332658,4.424655999998421,0,-1.8757447040000002,-1.8757447040000002,1.996236854,0.12049215,0.0,67.35054816499998,99.21121089680283,4.424655999998421,0,-1.8757447040000002,-1.8757447040000002,1.996236854,0.12049215,0.0,67.35054816499998,99.06118742054315,4.424655999998421,0,-1.8757447040000002,-1.8757447040000002,1.996236854,0.12049215,0.0,67.35054816499998
27,0.0,5.106618738,99.52050918159361,4.424655999998421,0,-1.7022062459999998,-1.7022062459999998,1.860263146,0.1580569,0.0,67.35054816499998,99.26566788127133,4.424655999998421,0,-1.7022062459999998,-1.7022062459999998,1.860263146,0.1580569,0.0,67.35054816499998,99.12951711585539,4.424655999998421,0,-1.7022062459999998,-1.7022062459999998,1.860263146,0.1580569,0.0,67.35054816499998
28,0.0,4.559862963000002,99.55043057193784,4.424655999998421,0,-1.5199543210000006,-1.5199543210000006,1.686531921,0.1665776,0.0,67.35054816499998,99.32285918263166,4.424655999998421,0,-1.5199543210000006,-1.5199543210000006,1.686531921,0.1665776,0.0,67.35054816499998,99.20127768494679,4.424655999998421,0,-1.5199543210000006,-1.5199543210000006,1.686531921,0.1665776,0.0,67.35054816499998
29,0.0,4.093549737,99.57594971722317,4.424655999998421,0,-1.364516579,-1.364516579,1.494968079,0.1304515,0.0,67.35054816499998,99.37163609813194,4.424655999998421,0,-1.364516579,-1.364516579,1.494968079,0.1304515,0.0,67.35054816499998,99.26248033520247,4.424655999998421,0,-1.364516579,-1.364516579,1.494968079,0.1304515,0.0,67.35054816499998
30,0.0,3.474905727,99.60980521496774,4.424655999998421,0,-1.158301909,-1.158301909,1.305648859,0.14734695,0.0,67.35054816499998,99.43634699398062,4.424655999998421,0,-1.158301909,-1.158301909,1.305648859,0.14734695,0.0,67.35054816499998,99.34367608703994,4.424655999998421,0,-1.158301909,-1.158301909,1.305648859,0.14734695,0.0,67.35054816499998
31,0.0,2.9545150230000004,99.63828376809484,4.424655999998421,0,-0.9848383410000001,-0.9848383410000001,1.0703511410000002,0.0855128,0.0,67.35054816499999,99.49078047770116,4.424655999998421,0,-0.9848383410000001,-0.9848383410000001,1.0703511410000002,0.0855128,0.0,67.35054816499999,99.41197629487755,4.424655999998421,0,-0.9848383410000001,-0.9848383410000001,1.0703511410000002,0.0855128,0.0,67.35054816499999
32,0.0,2.3373780384000002,99.67205679337667,4.424655999998421,0,-0.7791260128,-0.7791260128,0.8373392128,0.0582132,0.0,67.35054816499999,99.55533373690882,4.424655999998421,0,-0.7791260128,-0.7791260128,0.8373392128,0.0582132,0.0,67.35054816499999,99.49297425273586,4.424655999998421,0,-0.7791260128,-0.7791260128,0.8373392128,0.0582132,0.0,67.35054816499999
33,0.0,1.0306333116,99.74356883008237,4.424655999998421,0,-0.34354443719999994,-0.34354443719999994,0.5846607871999999,0.24111635,0.0,67.35054816499999,99.69202078236609,4.424655999998421,0,-0.34354443719999994,-0.34354443719999994,0.5846607871999999,0.24111635,0.0,67.35054816499999,99.66448180608975,4.424655999998421,0,-0.34354443719999994,-0.34354443719999994,0.5846607871999999,0.24111635,0.0,67.35054816499999
34,0.0,0.7038391791000002,99.76145274690197,4.424655999998421,0,-0.23461305970000004,-0.23461305970000004,0.35288815970000004,0.1182751,0.0,67.35054816499999,99.72620383551188,4.424655999998421,0,-0.23461305970000004,-0.23461305970000004,0.35288815970000004,0.1182751,0.0,67.35054816499999,99.70737286274833,4.424655999998421,0,-0.23461305970000004,-0.23461305970000004,0.35288815970000004,0.1182751,0.0,67.35054816499999
35,0.0,0.06447072090000006,99.79644239691815,4.424655999998421,0,-0.02149024030000002,-0.02149024030000002,0.17361184030000001,0.1521216,0.0,67.35054816499999,99.79308253317758,4.424655999998421,0,-0.02149024030000002,-0.02149024030000002,0.17361184030000001,0.1521216,0.0,67.35054816499999,99.79128865571735,4.424655999998421,0,-0.02149024030000002,-0.02149024030000002,0.17361184030000001,0.1521216,0.0,67.35054816499999
36,0.0,0.0,99.79997057840984,4.345240516687895,0,0.0,0.0,0.019920731709999997,0.17081015,0.0,67.35054816499999,99.79982624690957,4.345240516687895,0,0.0,0.0,0.019920731709999997,0.17081015,0.0,67.35054816499999,99.79975030501866,4.345240516687895,0,0.0,0.0,0.019920731709999997,0.17081015,0.0,67.35054816499999
37,0.0,0.0,99.79997057840984,4.260068631578947,0,0.0,0.0,0.007079268293,0.16890585,0.0,67.35054816499999,99.79982624690957,4.260068631578947,0,0.0,0.0,0.007079268293,0.16890585,0.0,67.35054816499999,99.79975030501866,4.260068631578947,0,0.0,0.0,0.007079268293,0.16890585,0.0,67.35054816499999
38,0.0,0.0,99.79997057840984,4.154326210526316,0,0.0,0.0,0.0,0.2009106,0.0,67.35054816499999,99.79982624690957,4.154326210526316,0,0.0,0.0,0.0,0.2009106,0.0,67.35054816499999,99.79975030501866,4.154326210526316,0,0.0,0.0,0.0,0.2009106,0.0,67.35054816499999
39,0.0,0.0,99.79997057840984,4.060193947368421,0,0.0,0.0,0.0,0.1788513,0.0,67.35054816499999,99.79982624690957,4.060193947368421,0,0.0,0.0,0.0,0.1788513,0.0,67.35054816499999,99.79975030501866,4.060193947368421,0,0.0,0.0,0.0,0.1788513,0.0,67.35054816499999
40,0.0,0.0,99.79997057840984,3.9922924473684205,0,0.0,0.0,0.0,0.12901285,0.0,63.09354028199999,99.79982624690957,3.9922924473684205,0,0.0,0.0,0.0,0.12901285,0.0,63.09354028199999,99.79975030501866,3.9922924473684205,0,0.0,0.0,0.0,0.12901285,0.0,63.09354028199999
41,0.0,0.0,99.79997057840984,3.919332078947368,0,0.0,0.0,0.0,0.1386247,0.0,60.19236018899999,99.79982624690957,3.919332078947368,0,0.0,0.0,0.0,0.1386247,0.0,60.19236018899999,99.79975030501866,3.919332078947368,0,0.0,0.0,0.0,0.1386247,0.0,60.19236018899999
42,0.0,0.0,99.79997057840984,3.867302184210526,0,0.0,0.0,0.0,0.0988568,0.0,58.851111069999995,99.79982624690957,3.867302184210526,0,0.0,0.0,0.0,0.0988568,0.0,58.851111069999995,99.79975030501866,3.867302184210526,0,0.0,0.0,0.0,0.0988568,0.0,58.851111069999995
43,0.0,0.0,99.79997057840984,3.8032122105263153,0,0.0,0.0,0.0,0.12177095,0.0,55.279306479999995,99.79982624690957,3.8032122105263153,0,0.0,0.0,0.0,0.12177095,0.0,55.279306479999995,99.79975030501866,3.8032122105263153,0,0.0,0.0,0.0,0.12177095,0.0,55.279306479999995
44,0.0,0.0,99.79997057840984,3.7450992368421048,0,0.0,0.0,0.0,0.11041465,0.0,55.279306479999995,99.79982624690957,3.7450992368421048,0,0.0,0.0,0.0,0.11041465,0.0,55.279306479999995,99.79975030501866,3.7450992368421048,0,0.0,0.0,0.0,0.11041465,0.0,55.279306479999995
45,0.0,0.0,99.79997057840984,3.691884184210526,0,0.0,0.0,0.0,0.1011086,0.0,54.38999999999999,99.79982624690957,3.691884184210526,0,0.0,0.0,0.0,0.1011086,0.0,54.38999999999999,99.79975030501866,3.691884184210526,0,0.0,0.0,0.0,0.1011086,0.0,54.38999999999999
46,0.0,0.0,99.79997057840984,3.5949499736842103,0,0.0,0.0,0.0,0.184175,0.0,54.38999999999999,99.79982624690957,3.5949499736842103,0,0.0,0.0,0.0,0.184175,0.0,54.38999999999999,99.79975030501866,3.5949499736842103,0,0.0,0.0,0.0,0.184175,0.0,54.38999999999999
47,0.0,0.0,99.79997057840984,3.381219184210526,0,0.0,0.0,0.0,0.4060885,0.0,54.38999999999999,99.79982624690957,3.381219184210526,0,0.0,0.0,0.0,0.4060885,0.0,54.38999999999999,99.79975030501866,3.381219184210526,0,0.0,0.0,0.0,0.4060885,0.0,54.38999999999999
48,0.0,0.0,99.79997057840984,3.15,0,0.0,0.0,0.0,0.43931645,0.0,54.38999999999999,99.79982624690957,3.15,0,0.0,0.0,0.0,0.43931645,0.0,54.38999999999999,99.79975030501866,3.15,0,0.0,0.0,0.0,0.43931645,0.0,54.38999999999999
